turn_index,item_id,clock_id,status,playback_start_seconds,playback_end_seconds,speech_start_seconds,speech_end_seconds,target_speech_start_seconds,ttfs_ms,observed_wait_ms,target_first_token_seconds,ttft_ms,ttft_status
1,item_EQgjvUSNYRs5JFdpvIPgd,chromium-audio-context,answered,4.56,8.104,4.581333333333333,7.8613333333333335,10.164,2302.666666666666,,9.264,1402.6666666666658,measured_first_text_packet_after_rendered_speech
2,item_EQgkBXuxGhk3hn8q0Nn46,chromium-audio-context,answered,20.442666666666668,29.49266666666667,20.461333333333332,28.981333333333332,31.064,2082.6666666666683,,30.053333333333335,1072.0000000000027,measured_first_text_packet_after_rendered_speech
3,item_EQgkRysXJlKhZ16skdlS2,chromium-audio-context,no_observed_reply,36.656,40.82866666666666,36.681333333333335,40.82866666666666,,,0.0,,,no_first_text_packet_observed
4,item_EQgkTP7zshcesumVNQ3sI,chromium-audio-context,answered,40.82866666666666,51.87866666666667,40.82866666666666,51.721333333333334,54.044,2322.6666666666633,,52.906666666666666,1185.3333333333326,measured_first_text_packet_after_rendered_speech
5,item_EQgktKQXEFnOuIxRc0coV,chromium-audio-context,answered,64.34133333333334,71.34133333333334,64.34133333333334,71.16133333333333,74.964,3802.666666666667,,73.80266666666667,2641.3333333333358,measured_first_text_packet_after_rendered_speech
6,item_EQglBmVIky8O645r4FoZm,chromium-audio-context,answered,82.60266666666666,89.65933333333334,82.62133333333334,89.48133333333334,92.104,2622.66666666666,,90.98666666666666,1505.3333333333258,measured_first_text_packet_after_rendered_speech
