item_id,delay_ms,ack_event_sequence,observed_wait_ms,status,ttfa_ms,playback_ack_monotonic_ns,first_response_audio_receipt_monotonic_ns,first_response_audio_event_sequence,speech_onset_sample,clock_id,media_payload_clock_id
item_EQvBWaHvBQd5GWBRWXbWS,2160.5761669343337,437,31290.032291959506,answered_after_ack,2180.576167,413547608621333,413549789197500,547,74720,worker-63390-413537268280416,plivo-media
item_EQvC56pa1SSMjpJSyxh9P,2194.9506249511614,3491,7655.8260840247385,answered_after_ack,2214.950625,413600348806291,413602563756916,3603,496960,worker-63390-413537268280416,plivo-media
item_EQvCYQdjwdWQ1u3x5Om0b,2375.990582979284,4843,17077.422667003702,answered_after_ack,2395.990583,413622108019958,413624504010541,4964,672480,worker-63390-413537268280416,plivo-media
item_EQvD3Hg4mBTCg76bjU6aU,2977.588666952215,6224,9176.652166992426,answered_after_ack,2997.588667,413646567863458,413649565452125,6377,872960,worker-63390-413537268280416,plivo-media
