item_id,delay_ms,ack_event_sequence,observed_wait_ms,status,ttfa_ms,playback_ack_monotonic_ns,first_response_audio_receipt_monotonic_ns,first_response_audio_event_sequence,speech_onset_sample,clock_id,media_payload_clock_id
item_EQvQUZRjVjT00r6yhvwCX,2037.8562499536201,437,26161.439582996536,answered_after_ack,2057.85625,414475292678833,414477350535083,541,72960,worker-77541-414465161112416,plivo-media
item_EQvQxlNMn9N7sovaHHpTR,2323.117707972415,3224,17967.640166985802,answered_after_ack,2343.117708,414522890982333,414525234100041,3342,456000,worker-77541-414465161112416,plivo-media
item_EQvRb7zxUeAjMg8WZdpLw,2536.9370409753174,4703,20031.508249987382,answered_after_ack,2556.937041,414549093829625,414551650766666,4834,667360,worker-77541-414465161112416,plivo-media
item_EQvS3naOkcDJTbIPyvtr0,1596.6975839692168,6225,12790.25666700909,answered_after_ack,1616.697584,414576573860666,414578190558250,6307,879680,worker-77541-414465161112416,plivo-media
item_EQvSNrOCrkBfmfC1McYDA,2582.5151670142077,7485,24044.188792002387,answered_after_ack,2602.515167,414598254358458,414600856873625,7571,1053760,worker-77541-414465161112416,plivo-media
item_EQvSuLC7Ql3lneSLcSntr,1752.0947079756297,9152,11320.636707998347,answered_after_ack,1772.094708,414628938345125,414630710439833,9242,1299840,worker-77541-414465161112416,plivo-media
item_EQvTCVhnyreNqCPomJh3x,1234.488332993351,10292,6234.9280409980565,answered_after_ack,1254.488333,414648556210750,414649810699083,10356,1452640,worker-77541-414465161112416,plivo-media
