item_id,delay_ms,ack_event_sequence,observed_wait_ms,status,ttfa_ms,playback_ack_monotonic_ns,first_response_audio_receipt_monotonic_ns,first_response_audio_event_sequence,speech_onset_sample,clock_id,media_payload_clock_id
item_EQvXtU1ZrnoQqd7pQ0xNq,2137.342542002443,431,35147.385541989934,answered_after_ack,2157.342542,414934525754291,414936683096833,540,74240,worker-77541-414924425109166,plivo-media
item_EQvYWkpVdCnxMt6lxWDli,1816.8168339761905,3249,14216.658583958633,answered_after_ack,1836.816834,414984726713791,414986563530625,3342,473280,worker-77541-414924425109166,plivo-media
item_EQvYzyOEJMZUOYVmFAfHR,2465.808999957517,4535,9675.032290979289,answered_after_ack,2485.809,415007070406500,415009556215500,4655,656000,worker-77541-414924425109166,plivo-media
