item_id,delay_ms,ack_event_sequence,observed_wait_ms,status,ttfa_ms,playback_ack_monotonic_ns,first_response_audio_receipt_monotonic_ns,first_response_audio_event_sequence,speech_onset_sample,clock_id,media_payload_clock_id
item_EQvJIvMXgqGYj0YrU0YyZ,2114.0580409555696,369,27647.93258300051,answered_after_ack,2134.058041,414029193291625,414031327349666,477,65920,worker-77541-414019867570125,plivo-media
item_EQvJnEKtt3aTAjAJMY4gU,1755.8933749678545,2480,21185.35179097671,answered_after_ack,1775.893375,414067151957250,414068927850625,2570,366720,worker-77541-414019867570125,plivo-media
item_EQvKIwdaRaWL00ABeBoe5,2192.752874980215,4055,8958.222416986246,answered_after_ack,2212.752875,414095616708791,414097829461666,4167,597920,worker-77541-414019867570125,plivo-media
item_EQvKYw1F7ZX7gdbhPpewz,1595.1492079766467,4918,8425.164874992333,answered_after_ack,1615.149208,414110474007625,414112089156833,5000,712000,worker-77541-414019867570125,plivo-media
item_EQvKn0wFt7AbwfenpIkNB,2012.2616249718703,5878,18516.23120799195,answered_after_ack,2032.261625,414126578293833,414128610555458,5981,844160,worker-77541-414019867570125,plivo-media
item_EQvLD7t6VD1hNPbYkZmx3,1440.0025829672813,7280,6147.464915993623,answered_after_ack,1460.002583,414151870354625,414153330357208,7354,1041920,worker-77541-414019867570125,plivo-media
item_EQvLQaWNVCUxcRbuBRkwz,3037.4921250040643,7959,18334.85479198862,answered_after_ack,3057.492125,414163316961166,414166374453291,8115,1146240,worker-77541-414019867570125,plivo-media
