item_id,delay_ms,ack_event_sequence,observed_wait_ms,status,ttfa_ms,playback_ack_monotonic_ns,first_response_audio_receipt_monotonic_ns,first_response_audio_event_sequence,speech_onset_sample,clock_id,media_payload_clock_id
item_EQvN4rAFaYkxkLjhDVpnm,1995.117750018835,496,24356.940041994676,answered_after_ack,2015.11775,414264446996041,414266462113791,598,80800,worker-77541-414253314923791,plivo-media
item_EQvNX3dF5qe8ahP6GP1e7,2519.35533399228,3225,21403.917459014338,answered_after_ack,2539.355334,414310424802541,414312964157875,3353,452800,worker-77541-414253314923791,plivo-media
item_EQvOE8512P9BjUxqpEEZc,1498.0627080076374,4951,11190.194875001907,answered_after_ack,1518.062708,414341088421000,414342606483708,5028,689920,worker-77541-414253314923791,plivo-media
item_EQvOYRhJXT5Ga92P9uSCP,1842.907333979383,6258,18151.843875006307,answered_after_ack,1862.907334,414362979539666,414364842447000,6352,867680,worker-77541-414253314923791,plivo-media
item_EQvP1pLOfXqMSWxUx7Oko,1662.8199169645086,7649,15804.713374993298,answered_after_ack,1682.819917,414388041048458,414389723868375,7734,1066720,worker-77541-414253314923791,plivo-media
