item_id,delay_ms,ack_event_sequence,observed_wait_ms,status,ttfa_ms,playback_ack_monotonic_ns,first_response_audio_receipt_monotonic_ns,first_response_audio_event_sequence,speech_onset_sample,clock_id,media_payload_clock_id
item_EQv8tR7mZKL37ULqh29TC,4237.466291990131,743,22318.56574997073,answered_after_ack,4257.466292,413387409721166,413391667187458,957,131040,worker-63390-413372239833583,plivo-media
item_EQv9M1a9Zi9gmDdHR0kj2,10915.661874983925,2661,27210.696499969345,answered_after_ack,10935.661875,413421011859000,413431947520875,3355,453280,worker-63390-413372239833583,plivo-media
item_EQv9Q3vq2xK3GY4PjfbOP,3277.172000030987,3187,19572.206625016406,answered_after_ack,3297.172,413428650348875,413431947520875,3355,453280,worker-63390-413372239833583,plivo-media
item_EQv9yFuHNnuZYPBIIeHxf,2097.8190830210224,4831,6597.532083047554,answered_after_ack,2117.819083,413457692423375,413459810242458,4938,676160,worker-63390-413372239833583,plivo-media
item_EQvAEyHPaHxcWfhUbAuH9,2640.229624987114,5491,5496.0184580413625,answered_after_ack,2660.229625,413468991615208,413471651844833,5625,770880,worker-63390-413372239833583,plivo-media
