item_id,delay_ms,ack_event_sequence,observed_wait_ms,status,ttfa_ms,playback_ack_monotonic_ns,first_response_audio_receipt_monotonic_ns,first_response_audio_event_sequence,speech_onset_sample,clock_id,media_payload_clock_id
item_EQvgWNe06SQFOKe7FAZ7u,5318.700541974977,722,27789.992334030103,answered_after_ack,5338.700542,415470969921541,415476308622083,990,141440,worker-77541-415455513380458,plivo-media
item_EQvh3oOukJv6kZ28UmOIq,2016.1473749321885,3458,25127.301417000126,answered_after_ack,2036.147375,415517973164083,415520009311458,3561,491040,worker-77541-415455513380458,plivo-media
item_EQvhlHcOOu5gsmIMSFmqd,1836.6516249952838,5766,8912.544457998592,answered_after_ack,1856.651625,415558072525375,415559929177000,5860,810400,worker-77541-415455513380458,plivo-media
item_EQvi9dbcuEdSa9B9dEAk8,2780.509833013639,6607,10742.051583016291,answered_after_ack,2800.509833,415572730631208,415575531141041,6759,935200,worker-77541-415455513380458,plivo-media
item_EQviPh2icc05OaPGLvAK9,2375.619624974206,7529,6379.770457977429,answered_after_ack,2395.619625,415588794095958,415591189715583,7650,1060480,worker-77541-415455513380458,plivo-media
item_EQvib6Q4jrhhiaGhrzdVw,1494.5522499619983,8186,9273.912415956147,answered_after_ack,1514.55225,415600015585875,415601530138125,8263,1143200,worker-77541-415455513380458,plivo-media
