item_id,delay_ms,ack_event_sequence,observed_wait_ms,status,ttfa_ms,playback_ack_monotonic_ns,first_response_audio_receipt_monotonic_ns,first_response_audio_event_sequence,speech_onset_sample,clock_id,media_payload_clock_id
item_EQv4hRrwU8zSnto4p3rwJ,3016.49649994215,768,24270.268416963518,answered_after_ack,3036.4965,413128072989916,413131109486416,921,124000,worker-63390-413112628178208,plivo-media
item_EQv5CGrB6Txt0QKyDwJZG,3238.3934169774875,2701,23741.091084026266,answered_after_ack,3258.393417,413162473135166,413165731528583,2865,400960,worker-63390-413112628178208,plivo-media
item_EQv5k94tu6e0sQnoA6ld3,3253.4304579603486,4657,18654.690583003685,answered_after_ack,3273.430458,413197197413333,413200470843791,4822,678880,worker-63390-413112628178208,plivo-media
item_EQv6DN7Yps7n1cA8GGnmB,1978.674832964316,6378,22745.435666001868,answered_after_ack,1998.674833,413227155296875,413229153971708,6479,908320,worker-63390-413112628178208,plivo-media
item_EQv6m1aDKs30pttsIemo1,2414.107416989282,8081,11425.441582978237,answered_after_ack,2434.107417,413257777844958,413260211952375,8204,1156800,worker-63390-413112628178208,plivo-media
item_EQv75na7xJUwHKlXRK5k7,3076.6892089741305,9089,11124.835500027984,answered_after_ack,3096.689209,413275476466041,413278573155250,9245,1303680,worker-63390-413112628178208,plivo-media
item_EQv7MnHCXZD08pPwvdXch,2097.492082975805,10177,5537.305791978724,answered_after_ack,2117.492083,413294235975083,413296353467166,10284,1445920,worker-63390-413112628178208,plivo-media
