turn_index,item_id,clock_id,status,playback_start_seconds,playback_end_seconds,speech_start_seconds,speech_end_seconds,target_speech_start_seconds,ttfs_ms,observed_wait_ms,target_first_token_seconds,ttft_ms,ttft_status
1,item_EQgYY6T36sPiWeCB2J1L0,chromium-audio-context,answered,5.562666666666667,9.214,5.586666666666667,8.886666666666667,10.941333333333333,2054.666666666666,,10.058666666666667,1172.0000000000007,measured_first_text_packet_after_rendered_speech
2,item_EQgYvb6uAJKckMsEJDATt,chromium-audio-context,no_observed_reply,27.834666666666667,38.584666666666664,27.846666666666668,38.42666666666667,,,10629.333333333328,,,no_first_text_packet_observed
3,item_EQgZGJP7aRW7mBrISTz5Y,chromium-audio-context,answered,49.056,54.956,49.166666666666664,54.50666666666667,58.12133333333333,3614.6666666666647,,57.072,2565.333333333335,measured_first_text_packet_after_rendered_speech
