item_id,delay_ms,ack_event_sequence,observed_wait_ms,status,ttfa_ms,playback_ack_monotonic_ns,first_response_audio_receipt_monotonic_ns,first_response_audio_event_sequence,speech_onset_sample,clock_id,media_payload_clock_id
item_EQvaFRxyXQyD7SKwaESba,2139.8719159769826,711,29149.67254101066,answered_after_ack,2159.871916,415082860745250,415085020617166,820,110400,worker-77541-415068352710083,plivo-media
item_EQvaoBMitr8RcUcOiVXCi,2197.076709009707,3139,9143.252542009577,answered_after_ack,2217.076709,415125720776041,415127937852750,3251,453760,worker-77541-415068352710083,plivo-media
item_EQvbBWFORSNQ1f2a08InK,2408.3319579367526,4155,11866.49695795495,answered_after_ack,2428.331958,415142682128750,415145110460708,4268,589600,worker-77541-415068352710083,plivo-media
item_EQvbUclcp41vdyy2A2lK4,2275.8687079767697,5378,9366.791624983307,answered_after_ack,2295.868708,415163501589458,415165797458166,5494,756640,worker-77541-415068352710083,plivo-media
item_EQvbnwP3Yir5KvTyjFGbX,2076.0664589470252,6451,7048.196416988503,answered_after_ack,2096.066459,415181461703666,415183557770125,6557,898720,worker-77541-415068352710083,plivo-media
item_EQvc2VnyXYLWDYbPoJTEG,2039.7275839350186,7650,14536.274291982409,answered_after_ack,2059.727584,415200699014666,415202758742250,7754,1052320,worker-77541-415068352710083,plivo-media
item_EQvcTCDWxj4PPbNnwaMjp,5990.47558294842,9109,26635.019666980952,answered_after_ack,6010.475583,415225648308833,415231658784416,9411,1283520,worker-77541-415068352710083,plivo-media
item_EQvd4mjcZSdpAsvy1Wjn9,2636.498666019179,11032,9818.194458028302,answered_after_ack,2656.498666,415260723185125,415263379683791,11166,1537280,worker-77541-415068352710083,plivo-media
