item_id,delay_ms,ack_event_sequence,observed_wait_ms,status,ttfa_ms,playback_ack_monotonic_ns,first_response_audio_receipt_monotonic_ns,first_response_audio_event_sequence,speech_onset_sample,clock_id,media_payload_clock_id
item_EQuzmXIuWpfT7F2HeM3EC,1837.2537919785827,513,17127.470917010214,answered_after_ack,1857.253792,412821107053041,412822964306833,607,81440,worker-63390-412810392248916,plivo-media
item_EQv08MzfeRU3oUe1M0Xw4,2119.47712500114,1931,25979.317250021268,answered_after_ack,2139.477125,412846136944333,412848276421458,2039,284000,worker-63390-412810392248916,plivo-media
item_EQv0ggGkMfk1oKL3Ic6zU,2041.9186659855768,3775,17900.40137496544,answered_after_ack,2061.918666,412879700586375,412881762505041,3879,551840,worker-63390-412810392248916,plivo-media
item_EQv15y9y8nmFpUyJUWCqy,1599.5633749989793,5181,9367.261416045949,answered_after_ack,1619.563375,412905020086000,412906639649375,5263,750880,worker-63390-412810392248916,plivo-media
item_EQv1MkfHPjG54OUISq5yE,2056.5718339639716,6036,11907.60604199022,answered_after_ack,2076.571834,412919962603166,412922039175000,6141,874080,worker-63390-412810392248916,plivo-media
item_EQv1dbbUtIXDWIurCva5k,2257.6822079718113,7451,17553.066249995027,answered_after_ack,2277.682208,412943582070708,412945859752916,7566,1064640,worker-63390-412810392248916,plivo-media
item_EQv27BTuSsKJc09hSmfaq,3223.9299999782816,8856,11099.711999995634,answered_after_ack,3243.93,412968719245291,412971963175291,9019,1273440,worker-63390-412810392248916,plivo-media
