item_id,delay_ms,ack_event_sequence,observed_wait_ms,status,ttfa_ms,playback_ack_monotonic_ns,first_response_audio_receipt_monotonic_ns,first_response_audio_event_sequence,speech_onset_sample,clock_id,media_payload_clock_id
item_EQvGmy7fUfUZJqP9oCC3O,4577.8564579668455,474,30349.376957979985,answered_after_ack,4597.856458,413874384712625,413878982569083,705,98080,worker-77541-413863715401916,plivo-media
item_EQvHLi3nyCH7ldF13jH08,2881.8712499924004,2976,13788.811666017864,answered_after_ack,2901.87125,413918828418125,413921730289375,3124,440000,worker-77541-413863715401916,plivo-media
item_EQvHm0JgFq6tUgyE5GGgr,1916.6715830215253,4184,17115.081250027288,answered_after_ack,1936.671583,413939984907083,413941921578666,4282,601600,worker-77541-413863715401916,plivo-media
item_EQvIBnHzC3HRlnCIGU4Mj,2076.3982919743285,5405,9457.174582988955,answered_after_ack,2096.398292,413962385995083,413964482393375,5511,782080,worker-77541-413863715401916,plivo-media
